# ID	FORM	LEMMA	UPOSTAG	XPOSTAG	FEATS	HEAD	DEPREL	DEPS	MISC
# 1
1897LENZ-11-TAGGED_1_1	amunge	amun	_	V	imp2s	_	_	_	origText=Amuŋe,baseForms=amu|nge
1897LENZ-11-TAGGED_1_2	,	,	PUNCT	PUNCT	_	_	_	_	_
1897LENZ-11-TAGGED_1_3	inei	iney	_	WH	particle	_	_	_	origText=inei,baseForms=iney
1897LENZ-11-TAGGED_1_4	chei	chey	_	IDP	particle	_	_	_	origText=chei,baseForms=chey
1897LENZ-11-TAGGED_1_5	mütrümi	mütrümn	_	V	ind3	_	_	_	origText=mət'ümi,baseForms=mütrüm|iy
1897LENZ-11-TAGGED_1_6	wekun	wekun	_	AV	_	_	_	_	origText=wekun,baseForms=wekun
1897LENZ-11-TAGGED_1_7	.	.	PUNCT	PUNCT	_	_	_	_	_

# 2
1897LENZ-11-TAGGED_2_1	küpape	küpan	_	V	_	_	_	_	origText=küpape,baseForms=küpa|None
1897LENZ-11-TAGGED_2_2	,	,	PUNCT	PUNCT	_	_	_	_	_
1897LENZ-11-TAGGED_2_3	pieimeu	pin	_	V	ind3-2s	_	_	_	origText=pieimeu,baseForms=pi|eymew
1897LENZ-11-TAGGED_2_4	kiñe	kiñe	_	NUM	_	_	_	_	origText=kiñe,baseForms=kiñe
1897LENZ-11-TAGGED_2_5	kawalleru	kawalleru	_	N	_	_	_	_	origText=kawaʎeru,baseForms=kawalleru
1897LENZ-11-TAGGED_2_6	.	.	PUNCT	PUNCT	_	_	_	_	_

# 3
1897LENZ-11-TAGGED_3_1	ramtuafinge	ramtun	_	V	fut|dir3|imp2s	_	_	_	origText=Ramtuaviŋe,baseForms=ramtu|a|fi|nge
1897LENZ-11-TAGGED_3_2	inei	iney	_	WH	particle	_	_	_	origText=inei,baseForms=iney
1897LENZ-11-TAGGED_3_3	an	an	_	IP	particle	_	_	_	origText=an,baseForms=an
1897LENZ-11-TAGGED_3_4	chei	chey	_	IDP	particle	_	_	_	origText=chei,baseForms=chey
1897LENZ-11-TAGGED_3_5	,	,	PUNCT	PUNCT	_	_	_	_	_
1897LENZ-11-TAGGED_3_6	chem	chem	_	WH	particle	_	_	_	origText=chem,baseForms=chem
1897LENZ-11-TAGGED_3_7	–	–	PUNCT	PUNCT	_	_	_	_	_
1897LENZ-11-TAGGED_3_8	duam	duam	_	N	_	_	_	_	origText=duam,baseForms=duam
1897LENZ-11-TAGGED_3_9	–	–	PUNCT	PUNCT	_	_	_	_	_
1897LENZ-11-TAGGED_3_10	ngei	ngen	_	V	ind3	_	_	_	origText=ŋei,baseForms=nge|iy
1897LENZ-11-TAGGED_3_11	.	.	PUNCT	PUNCT	_	_	_	_	_

# 4
1897LENZ-11-TAGGED_4_1	konpape	konün	_	V	cis	_	_	_	origText=konpape,baseForms=kon|pa|None
1897LENZ-11-TAGGED_4_2	.	.	PUNCT	PUNCT	_	_	_	_	_

# 5
1897LENZ-11-TAGGED_5_1	fei	fey	_	D	D	_	_	_	origText=Vei,baseForms=fey
1897LENZ-11-TAGGED_5_2	pifinge	pin	_	V	dir3|imp2s	_	_	_	origText=piviŋe,baseForms=pi|fi|nge
1897LENZ-11-TAGGED_5_3	;	;	PUNCT	PUNCT	_	_	_	_	_
1897LENZ-11-TAGGED_5_4	muchai	müchay	_	AV	_	_	_	_	origText=muchai,baseForms=muchay
1897LENZ-11-TAGGED_5_5	müten	müt'en	_	AV	nmlz	_	_	_	origText=məten,baseForms=müt'e|(ü)n
1897LENZ-11-TAGGED_5_6	amoan	amun	_	V	fut|ind1s	_	_	_	origText=amoan,baseForms=amu|a|(ü)n
1897LENZ-11-TAGGED_5_7	.	.	PUNCT	PUNCT	_	_	_	_	_

# 6
1897LENZ-11-TAGGED_6_1	marimarri	marimari	_	IJ	_	_	_	_	origText=Marimarri,baseForms=marimari
1897LENZ-11-TAGGED_6_2	,	,	PUNCT	PUNCT	_	_	_	_	_
1897LENZ-11-TAGGED_6_3	wenüi	wen'üy	_	N	_	_	_	_	origText=wenüi,baseForms=wen'üy
1897LENZ-11-TAGGED_6_4	(	(	PUNCT	PUNCT	_	_	_	_	_
1897LENZ-11-TAGGED_6_5	ñan	ñañ	_	N	_	_	_	_	origText=ñan,baseForms=ñañ
1897LENZ-11-TAGGED_6_6	,	,	PUNCT	PUNCT	_	_	_	_	_
1897LENZ-11-TAGGED_6_7	nai	nay	_	N	_	_	_	_	origText=nai,baseForms=nay
1897LENZ-11-TAGGED_6_8	)	)	PUNCT	PUNCT	_	_	_	_	_
1897LENZ-11-TAGGED_6_9	¿	¿	PUNCT	PUNCT	_	_	_	_	_
1897LENZ-11-TAGGED_6_10	chem	chem	_	WH	particle	_	_	_	origText=chem,baseForms=chem
1897LENZ-11-TAGGED_6_11	duamimi	duamün	_	V	ind2s	_	_	_	origText=duamimi,baseForms=duam|imi
1897LENZ-11-TAGGED_6_12	?	?	PUNCT	PUNCT	_	_	_	_	_

# 7
1897LENZ-11-TAGGED_7_1	küpapeyeyeu	küpan	_	V	indinv3-3	_	_	_	origText=Kəpapeyeyeu,baseForms=küpa|pe|eyew
1897LENZ-11-TAGGED_7_2	,	,	PUNCT	PUNCT	_	_	_	_	_
1897LENZ-11-TAGGED_7_3	dungul-pa-pe-tu-eyeu	düngulün	_	V	cause|cis|px|indinv3-3	_	_	_	origText=duŋul-pa-pe-tu-eyeu,baseForms=düngu|(ü)l|pa|pe|tu|eyew
1897LENZ-11-TAGGED_7_4	kai	kay	_	AV	_	_	_	_	origText=kai,baseForms=kay
1897LENZ-11-TAGGED_7_5	.	.	PUNCT	PUNCT	_	_	_	_	_

# 8
1897LENZ-11-TAGGED_8_1	fentepun	fentrepun	_	AV	_	_	_	_	origText=Ventepun,baseForms=fentre|pun
1897LENZ-11-TAGGED_8_2	ayueyu	ayün	_	V	ind1s-2s	_	_	_	origText=ayueyu,baseForms=ayü|eyu
1897LENZ-11-TAGGED_8_3	tami	tami	_	PP	2s	_	_	_	origText=tami,baseForms=tami
1897LENZ-11-TAGGED_8_4	pefiel	peyel	_	N	invNF2s-1s	_	_	_	origText=peviel,baseForms=pe|fiel
1897LENZ-11-TAGGED_8_5	;	;	PUNCT	PUNCT	_	_	_	_	_
1897LENZ-11-TAGGED_8_6	anünge	anün	_	V	imp2s	_	_	_	origText=anüŋe,baseForms=anü|nge
1897LENZ-11-TAGGED_8_7	.	.	PUNCT	PUNCT	_	_	_	_	_

# 9
1897LENZ-11-TAGGED_9_1	¿	¿	PUNCT	PUNCT	_	_	_	_	_
1897LENZ-11-TAGGED_9_2	cheu	chew	_	WH	particle	_	_	_	origText=Cheu,baseForms=chew
1897LENZ-11-TAGGED_9_3	küpaimi	küpan	_	V	ind2s	_	_	_	origText=kəpaimi,baseForms=küpa|imi
1897LENZ-11-TAGGED_9_4	?	?	PUNCT	PUNCT	_	_	_	_	_

# 10
1897LENZ-11-TAGGED_10_1	küpan	küpan	_	V	ind1s	_	_	_	origText=Kəpan,baseForms=küpa|(ü)n
1897LENZ-11-TAGGED_10_2	tañi	tañi	_	PP	1s	_	_	_	origText=tañi,baseForms=tañi
1897LENZ-11-TAGGED_10_3	mapu	mapu	_	N	_	_	_	_	origText=mapu,baseForms=mapu
1897LENZ-11-TAGGED_10_4	–	–	PUNCT	PUNCT	_	_	_	_	_
1897LENZ-11-TAGGED_10_5	meu	mew	_	P	P	_	_	_	origText=meu,baseForms=mew
1897LENZ-11-TAGGED_10_6	.	.	PUNCT	PUNCT	_	_	_	_	_

# 11
1897LENZ-11-TAGGED_11_1	¿	¿	PUNCT	PUNCT	_	_	_	_	_
1897LENZ-11-TAGGED_11_2	cheu	chew	_	WH	particle	_	_	_	origText=Cheu,baseForms=chew
1897LENZ-11-TAGGED_11_3	mülei	mülen	_	V	ind3	_	_	_	origText=məlei,baseForms=müle|iy
1897LENZ-11-TAGGED_11_4	tami	tami	_	PP	2s	_	_	_	origText=tami,baseForms=tami
1897LENZ-11-TAGGED_11_5	tukukan	tükukan	_	N	cont|nmlz	_	_	_	origText=tukukán,baseForms=tüku|ka|(ü)n
1897LENZ-11-TAGGED_11_6	?	?	PUNCT	PUNCT	_	_	_	_	_

# 12
1897LENZ-11-TAGGED_12_1	tfa-meu	tüfamew	_	AV	_	_	_	_	origText=Tva-meu,baseForms=tüfamew
1897LENZ-11-TAGGED_12_2	müten	müt'en	_	AV	nmlz	_	_	_	origText=məten,baseForms=müt'e|(ü)n
1897LENZ-11-TAGGED_12_3	,	,	PUNCT	PUNCT	_	_	_	_	_
1897LENZ-11-TAGGED_12_4	pichi	pichi	_	AJ	_	_	_	_	origText=pichi,baseForms=pichi
1897LENZ-11-TAGGED_12_5	mapule	mapulen	_	V	vb|ind3	_	_	_	origText=mapule,baseForms=mapu|le|iy
1897LENZ-11-TAGGED_12_6	.	.	PUNCT	PUNCT	_	_	_	_	_

# 13
1897LENZ-11-TAGGED_13_1	¿	¿	PUNCT	PUNCT	_	_	_	_	_
1897LENZ-11-TAGGED_13_2	chunten	tunten	_	WH	particle	_	_	_	origText=Chunten,baseForms=tunten
1897LENZ-11-TAGGED_13_3	-	-	PUNCT	PUNCT	_	_	_	_	_
1897LENZ-11-TAGGED_13_4	meu	mew	_	P	P	_	_	_	origText=meu,baseForms=mew
1897LENZ-11-TAGGED_13_5	tripa-paimi	tripan	_	V	cis|ind2s	_	_	_	origText=t'ipa-paimi,baseForms=tripa|pa|imi
1897LENZ-11-TAGGED_13_6	ruka	ruka	_	N	_	_	_	_	origText=ruka,baseForms=ruka
1897LENZ-11-TAGGED_13_7	-	-	PUNCT	PUNCT	_	_	_	_	_
1897LENZ-11-TAGGED_13_8	meu	mew	_	P	P	_	_	_	origText=meu,baseForms=mew
1897LENZ-11-TAGGED_13_9	?	?	PUNCT	PUNCT	_	_	_	_	_

# 14
1897LENZ-11-TAGGED_14_1	tai	tayi	_	AV	_	_	_	_	origText=Tai,baseForms=tayi
1897LENZ-11-TAGGED_14_2	pu	pu	_	PL	particle	_	_	_	origText=pu,baseForms=pu
1897LENZ-11-TAGGED_14_3	liwen	liwen	_	N	_	_	_	_	origText=liwen,baseForms=liwen
1897LENZ-11-TAGGED_14_4	küpan	küpan	_	V	ind1s	_	_	_	origText=kəpan,baseForms=küpa|(ü)n
1897LENZ-11-TAGGED_14_5	.	.	PUNCT	PUNCT	_	_	_	_	_

# 15
1897LENZ-11-TAGGED_15_1	kuifi	kuyfi	_	AV	_	_	_	_	origText=Kuivi,baseForms=kuyfi
1897LENZ-11-TAGGED_15_2	tami	tami	_	PP	2s	_	_	_	origText=tami,baseForms=tami
1897LENZ-11-TAGGED_15_3	pe-we-no-fi-um	pen	_	V	neg|dir3|ind2d	_	_	_	origText=pe-we-no-vi-um,baseForms=pe|psist|no|fi|iymu
1897LENZ-11-TAGGED_15_4	.	.	PUNCT	PUNCT	_	_	_	_	_

# 16
1897LENZ-11-TAGGED_16_1	¿	¿	PUNCT	PUNCT	_	_	_	_	_
1897LENZ-11-TAGGED_16_2	cheu	chew	_	WH	particle	_	_	_	origText=Cheu,baseForms=chew
1897LENZ-11-TAGGED_16_3	–	–	PUNCT	PUNCT	_	_	_	_	_
1897LENZ-11-TAGGED_16_4	müngel	müngel	_	AV	_	_	_	_	origText=məŋel,baseForms=müngel
1897LENZ-11-TAGGED_16_5	müle-peimi	mülen	_	V	px|ind2s	_	_	_	origText=məle-peimi,baseForms=müle|pe|imi
1897LENZ-11-TAGGED_16_6	,	,	PUNCT	PUNCT	_	_	_	_	_
1897LENZ-11-TAGGED_16_7	kam	kam	_	IP	particle	_	_	_	origText=kam,baseForms=kam
1897LENZ-11-TAGGED_16_8	ka	ka	_	AV	_	_	_	_	origText=ka,baseForms=ka
1897LENZ-11-TAGGED_16_9	mapu	mapu	_	N	_	_	_	_	origText=mapu,baseForms=mapu
1897LENZ-11-TAGGED_16_10	,	,	PUNCT	PUNCT	_	_	_	_	_
1897LENZ-11-TAGGED_16_11	kam	kam	_	IP	particle	_	_	_	origText=kam,baseForms=kam
1897LENZ-11-TAGGED_16_12	waria	waria	_	N	_	_	_	_	origText=waria,baseForms=waria
1897LENZ-11-TAGGED_16_13	–	–	PUNCT	PUNCT	_	_	_	_	_
1897LENZ-11-TAGGED_16_14	meu	mew	_	P	P	_	_	_	origText=meu,baseForms=mew
1897LENZ-11-TAGGED_16_15	?	?	PUNCT	PUNCT	_	_	_	_	_

# 17
1897LENZ-11-TAGGED_17_1	müle-pen	mülen	_	V	px|ind1s	_	_	_	origText=məle-pen,baseForms=müle|pe|(ü)n
1897LENZ-11-TAGGED_17_2	tañi	tañi	_	PP	1s	_	_	_	origText=tañi,baseForms=tañi
1897LENZ-11-TAGGED_17_3	malle	malle	_	N	_	_	_	_	origText=maʎe,baseForms=malle
1897LENZ-11-TAGGED_17_4	ñi	ñi	_	PP	3	_	_	_	origText=ñi,baseForms=ñi
1897LENZ-11-TAGGED_17_5	tukukan	tükukan	_	N	cont|nmlz	_	_	_	origText=tukukán,baseForms=tüku|ka|(ü)n
1897LENZ-11-TAGGED_17_6	-	-	PUNCT	PUNCT	_	_	_	_	_
