#ID	FORM	LEMMA	UPOSTAG	XPOSTAG	FEATS	HEAD	DEPREL	DEPS	MISC
1	Atapay	atapay	_	NP	_	_	_	_	baseForms=Atapay
2	fücha	fücha	_	AJ	_	_	_	_	baseForms=fücha
3	engu	engu	_	PC	3d	_	_	_	baseForms=engu
4	Konatraru	kon'atraru	_	NP	_	_	_	_	baseForms=kon'a|traru
5	kudekefuingu	kuden	_	V	habit|bi|ind3d	_	_	_	baseForms=kude|ke|fu|ingu
6	pillmatun	pillmatun	_	V	vb|inf	_	_	_	baseForms=pillma|tu|(ü)n
7	-	-	PUNCT	PUNCT	_	_	_	_	_
8	kuden	kuden	_	N	nmlz	_	_	_	baseForms=kude|(ü)n
9	meu	mew	_	P	P	_	_	_	baseForms=mew
10	;	;	PUNCT	PUNCT	_	_	_	_	_
11	fei	fey	_	D	D	_	_	_	baseForms=fey
12	meu	mew	_	P	P	_	_	_	baseForms=mew
13	weuniengekai	wewün	_	V	pass|cont|ind3	_	_	_	baseForms=wew|nie|nge|ka|iy
14	Atapay	atapay	_	NP	_	_	_	_	baseForms=Atapay
15	fücha	fücha	_	AJ	_	_	_	_	baseForms=fücha
16	.	.	PUNCT	PUNCT	_	_	_	_	_

1	Fei	fey	_	D	D	_	_	_	baseForms=fey
2	meu	mew	_	P	P	_	_	_	baseForms=mew
3	"	"	PUNCT	PUNCT	_	_	_	_	_
4	Paliaiyu	palin	_	V	fut|ind1d	_	_	_	baseForms=pali|a|iyu
5	"	"	PUNCT	PUNCT	_	_	_	_	_
6	pi	pin	_	V	ind3	_	_	_	baseForms=pi|iy
7	Atapay	atapay	_	NP	_	_	_	_	baseForms=Atapay
8	fücha	fücha	_	AJ	_	_	_	_	baseForms=fücha
9	.	.	PUNCT	PUNCT	_	_	_	_	_
10	“	“	PUNCT	PUNCT	_	_	_	_	_
11	Konatuan	kon'atun	_	V	vb|fut|ind1s	_	_	_	baseForms=kon'a|tu|a|n
12	Pishmaiwile	pishmaiwile	_	NP	_	_	_	_	baseForms=pishmaiwile
13	engu	engu	_	PC	3d	_	_	_	baseForms=engu
14	Konküimawile	konküimawile	_	NP	_	_	_	_	baseForms=konkïmawile
15	,	,	PUNCT	PUNCT	_	_	_	_	_
16	ka	ka	_	C	particle	_	_	_	baseForms=ka
17	Füchá-ñamku	füchá-ñamku	_	NP	_	_	_	_	baseForms=fücha|ñamku
18	engu	engu	_	PC	3d	_	_	_	baseForms=engu
19	Pichi-ñamku	pichi-ñamco	_	NP	_	_	_	_	baseForms=pichi|ñamku
20	,	,	PUNCT	PUNCT	_	_	_	_	_
21	Meñcholongko	meñcholongko	_	NP	_	_	_	_	baseForms=None
22	feyengn	feyengün	_	PN	3p	_	_	_	baseForms=feyengün
23	kümeke	küme	_	AJ	p	_	_	_	baseForms=küme|ke
24	palife	palife	_	N	agent	_	_	_	baseForms=pali|fe
25	”	”	PUNCT	PUNCT	_	_	_	_	_
26	,	,	PUNCT	PUNCT	_	_	_	_	_
27	pi	pin	_	V	ind3	_	_	_	baseForms=pi|iy
28	Atapay	atapay	_	NP	_	_	_	_	baseForms=Atapay
29	fücha	fücha	_	AJ	_	_	_	_	baseForms=fücha
30	.	.	PUNCT	PUNCT	_	_	_	_	_

1	Konatraru	kon'atraru	_	NP	_	_	_	_	baseForms=kon'a|traru
2	kongatui	kon'atun	_	V	vb|ind3	_	_	_	baseForms=kon'a|tu|iy
3	Kaimeñ-traru	kaimeñ-traru	_	NP	_	_	_	_	baseForms=kaimeñ|traru
4	engu	engu	_	PC	3d	_	_	_	baseForms=engu
5	Chiukü	chiukü	_	NP	_	_	_	_	baseForms=chiukü
6	.	.	PUNCT	PUNCT	_	_	_	_	_
7	“	“	PUNCT	PUNCT	_	_	_	_	_
8	Feyengn	feyengün	_	PN	3p	_	_	_	baseForms=feyengün
9	alüngeingn	al'üngen	_	V	vb|ind3p	_	_	_	baseForms=al'ü(n)|nge|ingun
10	”	”	PUNCT	PUNCT	_	_	_	_	_
11	,	,	PUNCT	PUNCT	_	_	_	_	_
12	pi	pin	_	V	ind3	_	_	_	baseForms=pi|iy
13	Konatraru	kon'atraru	_	NP	_	_	_	_	baseForms=kon'a|traru
