# ID	FORM	LEMMA	UPOSTAG	XPOSTAG	FEATS	HEAD	DEPREL	DEPS	MISC
1922AUGU-TAGGED_1_1	atapay	atapay	_	NP	_	_	_	_	origText=Atapay,baseForms=Atapay
1922AUGU-TAGGED_1_2	fücha	fücha	_	AJ	_	_	_	_	origText=fücha,baseForms=fücha
1922AUGU-TAGGED_1_3	engu	engu	_	PC	3d	_	_	_	origText=engu,baseForms=engu
1922AUGU-TAGGED_1_4	konatraru	kon'atraru	_	NP	_	_	_	_	origText=Konatraru,baseForms=kon'a|traru
1922AUGU-TAGGED_1_5	kudekefuingu	kuden	_	V	habit|bi|ind3d	_	_	_	origText=kudekefuingu,baseForms=kude|ke|fu|ingu
1922AUGU-TAGGED_1_6	pillmatun	pillmatun	_	V	vb|inf	_	_	_	origText=pillmatun,baseForms=pillma|tu|(ü)n
1922AUGU-TAGGED_1_7	-	-	PUNCT	PUNCT	_	_	_	_	_
1922AUGU-TAGGED_1_8	kuden	kuden	_	N	nmlz	_	_	_	origText=kuden,baseForms=kude|(ü)n
1922AUGU-TAGGED_1_9	meu	mew	_	P	P	_	_	_	origText=meu,baseForms=mew
1922AUGU-TAGGED_1_10	;	;	PUNCT	PUNCT	_	_	_	_	_
1922AUGU-TAGGED_1_11	fei	fey	_	D	D	_	_	_	origText=fei,baseForms=fey
1922AUGU-TAGGED_1_12	meu	mew	_	P	P	_	_	_	origText=meu,baseForms=mew
1922AUGU-TAGGED_1_13	weuniengekai	wewün	_	V	pass|cont|ind3	_	_	_	origText=weuniengekai,baseForms=wew|nie|nge|ka|iy
1922AUGU-TAGGED_1_14	atapay	atapay	_	NP	_	_	_	_	origText=Atapay,baseForms=Atapay
1922AUGU-TAGGED_1_15	fücha	fücha	_	AJ	_	_	_	_	origText=fücha,baseForms=fücha
1922AUGU-TAGGED_1_16	.	.	PUNCT	PUNCT	_	_	_	_	_

1922AUGU-TAGGED_2_1	fei	fey	_	D	D	_	_	_	origText=Fei,baseForms=fey
1922AUGU-TAGGED_2_2	meu	mew	_	P	P	_	_	_	origText=meu,baseForms=mew
1922AUGU-TAGGED_2_3	"	"	PUNCT	PUNCT	_	_	_	_	_
1922AUGU-TAGGED_2_4	paliaiyu	palin	_	V	fut|ind1d	_	_	_	origText=Paliaiyu,baseForms=pali|a|iyu
1922AUGU-TAGGED_2_5	"	"	PUNCT	PUNCT	_	_	_	_	_
1922AUGU-TAGGED_2_6	pi	pin	_	V	ind3	_	_	_	origText=pi,baseForms=pi|iy
1922AUGU-TAGGED_2_7	atapay	atapay	_	NP	_	_	_	_	origText=Atapay,baseForms=Atapay
1922AUGU-TAGGED_2_8	fücha	fücha	_	AJ	_	_	_	_	origText=fücha,baseForms=fücha
1922AUGU-TAGGED_2_9	.	.	PUNCT	PUNCT	_	_	_	_	_

1922AUGU-TAGGED_2_1	“	“	PUNCT	PUNCT	_	_	_	_	_
1922AUGU-TAGGED_2_2	konatuan	kon'atun	_	V	vb|fut|ind1s	_	_	_	origText=Konatuan,baseForms=kon'a|tu|a|n
1922AUGU-TAGGED_2_3	pishmaiwile	pishmaiwile	_	NP	_	_	_	_	origText=Pishmaiwile,baseForms=pishmaiwile
1922AUGU-TAGGED_2_4	engu	engu	_	PC	3d	_	_	_	origText=engu,baseForms=engu
1922AUGU-TAGGED_2_5	konküimawile	konküimawile	_	NP	_	_	_	_	origText=Konküimawile,baseForms=konkïmawile
1922AUGU-TAGGED_2_6	,	,	PUNCT	PUNCT	_	_	_	_	_
1922AUGU-TAGGED_2_7	ka	ka	_	C	particle	_	_	_	origText=ka,baseForms=ka
1922AUGU-TAGGED_2_8	fücha-ñamku	füchá-ñamku	_	NP	_	_	_	_	origText=Füchá-ñamku,baseForms=fücha|ñamku
1922AUGU-TAGGED_2_9	engu	engu	_	PC	3d	_	_	_	origText=engu,baseForms=engu
1922AUGU-TAGGED_2_10	pichi-ñamku	pichi-ñamco	_	NP	_	_	_	_	origText=Pichi-ñamku,baseForms=pichi|ñamku
1922AUGU-TAGGED_2_11	,	,	PUNCT	PUNCT	_	_	_	_	_
1922AUGU-TAGGED_2_12	meñcholongko	meñcholongko	_	NP	_	_	_	_	origText=Meñcholongko,baseForms=None
1922AUGU-TAGGED_2_13	feyengn	feyengün	_	PN	3p	_	_	_	origText=feyengn,baseForms=feyengün
1922AUGU-TAGGED_2_14	kümeke	küme	_	AJ	p	_	_	_	origText=kümeke,baseForms=küme|ke
1922AUGU-TAGGED_2_15	palife	palife	_	N	agent	_	_	_	origText=palife,baseForms=pali|fe
1922AUGU-TAGGED_2_16	”	”	PUNCT	PUNCT	_	_	_	_	_
1922AUGU-TAGGED_2_17	,	,	PUNCT	PUNCT	_	_	_	_	_
1922AUGU-TAGGED_2_18	pi	pin	_	V	ind3	_	_	_	origText=pi,baseForms=pi|iy
1922AUGU-TAGGED_2_19	atapay	atapay	_	NP	_	_	_	_	origText=Atapay,baseForms=Atapay
1922AUGU-TAGGED_2_20	fücha	fücha	_	AJ	_	_	_	_	origText=fücha,baseForms=fücha
1922AUGU-TAGGED_2_21	.	.	PUNCT	PUNCT	_	_	_	_	_

1922AUGU-TAGGED_3_1	konatraru	kon'atraru	_	NP	_	_	_	_	origText=Konatraru,baseForms=kon'a|traru
1922AUGU-TAGGED_3_2	kongatui	kon'atun	_	V	vb|ind3	_	_	_	origText=kongatui,baseForms=kon'a|tu|iy
1922AUGU-TAGGED_3_3	kaimeñ-traru	kaimeñ-traru	_	NP	_	_	_	_	origText=Kaimeñ-traru,baseForms=kaimeñ|traru
1922AUGU-TAGGED_3_4	engu	engu	_	PC	3d	_	_	_	origText=engu,baseForms=engu
1922AUGU-TAGGED_3_5	chiukü	chiukü	_	NP	_	_	_	_	origText=Chiukü,baseForms=chiukü
1922AUGU-TAGGED_3_6	.	.	PUNCT	PUNCT	_	_	_	_	_

1922AUGU-TAGGED_3_1	“	“	PUNCT	PUNCT	_	_	_	_	_
1922AUGU-TAGGED_3_2	feyengn	feyengün	_	PN	3p	_	_	_	origText=Feyengn,baseForms=feyengün
1922AUGU-TAGGED_3_3	alüngeingn	al'üngen	_	V	vb|ind3p	_	_	_	origText=alüngeingn,baseForms=al'ü(n)|nge|ingun
1922AUGU-TAGGED_3_4	”	”	PUNCT	PUNCT	_	_	_	_	_
1922AUGU-TAGGED_3_5	,	,	PUNCT	PUNCT	_	_	_	_	_
1922AUGU-TAGGED_3_6	pi	pin	_	V	ind3	_	_	_	origText=pi,baseForms=pi|iy
